group,placeName,lineNumber,station,address,lat,lng
공연장,중랑문화체육관,7호선,사가정역,서울 중랑구 사가정로72길 47,,
미술관,중랑아트센터,"경의선, 경춘선",망우역,서울 중랑구 상봉동 500,37.59850 ,127.09196 
기타,중랑평생학습관,"경의선, 경춘선",망우역,서울 중랑구 망우로67길 10,,
박물관/기념관,짚풀생활사박물관,4호선,혜화역,서울 종로구 명륜2가 8-4,37.58489 ,126.99995 
유적지,창경궁,4호선,혜화역,서울 종로구 창경궁로 185,37.57878 ,126.99488 
유적지,창덕궁,3호선,안국역,서울 종로구 율곡로 99,37.57959 ,126.99106 
문화원,창동스포츠문화컴플렉스,"1호선, 4호선",창동역,서울 도봉구 노해로69길 132,,
공연장,창무예술원- 드 포스트,"2호선, 경의선, 공항철도",홍대입구역,서울 마포구 창전동 5-9,,
유적지,창빈안씨묘역,"4호선, 9호선",동작역,서울 동작구 동작동 299-10,37.49703 ,126.97028 
문화예술회관,창신소통공작소,"1호선, 6호선",동묘앞역,서울 종로구 창신6가길 47,37.57578 ,127.01232 
유적지,천상열차분야지도각석,3호선,경복궁역,서울 종로구 효자로 12,37.57799 ,126.97427 
박물관/기념관,청계천박물관 ,2호선,용두역,서울 성동구 청계천로 530,37.57135 ,127.03505 
유적지,청권사,2호선,방배역,서울 서초구 방배동,37.48954 ,127.00007 
공연장,청년허브,"3호선, 6호선",불광역,서울 은평구 통일로 684,37.60863 ,126.93377 
기타,청춘극장,5호선,서대문역,서울 중구 새문안로 22,37.56710 ,126.96863 
기타,청춘삘딩,1호선,독산역,서울 금천구 시흥대로138길 10-11,,
미술관,청화랑,7호선,청담역,서울 강남구 삼성로147길 4,37.52272 ,127.04763 
박물관/기념관,체신기념관,3호선,안국역,서울 종로구 견지동 39-7,37.57134 ,127.03505 
유적지,초안산조선시대분묘군,4호선,수유역,서울 도봉구 창동,37.63792 ,127.04508 
